timestamp, temperature, humidity, pressure, custom_MICS, ratio_NH3, ratio_CO, ratio_NO2, nh3, co, no2, c3h8, c4h10, ch4, h2, c2h5oh, alpha1, alpha2, alphadiff, specdiff
7379, 10, 75, 99904.00, 938, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 3475685, 478187, 617219, -143510
67384, 10, 77, 99908.00, 903, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 340904, 631479, 420449, 208140
127384, 10, 77, 99918.00, 885, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 191822, 627501, 402771, 224223
187394, 9, 77, 99914.00, 871, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 236047, 626122, 396668, 224490
247397, 10, 77, 99913.00, 861, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 1361908, 620748, 394507, 224027
307397, 10, 78, 99912.00, 850, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 160917, 625183, 393289, 228745
367407, 10, 77, 99917.00, 835, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 156805, 628686, 391705, 234172
427410, 10, 76, 99913.00, 835, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 122887, 622224, 394893, 225355
487410, 9, 77, 99911.00, 815, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 133581, 627185, 393219, 230563
547420, 9, 77, 99911.00, 810, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 152888, 620529, 394292, 228321
607424, 9, 77, 99909.00, 803, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 168935, 621507, 384920, 226582
667423, 9, 78, 99908.00, 789, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 128758, 626507, 392262, 233070
727425, 9, 77, 99912.00, 782, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 97852, 620859, 391797, 226573
787424, 9, 78, 99906.00, 776, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 98245, 620290, 391357, 227791
847427, 9, 78, 99905.00, 766, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 104979, 624083, 386171, 230524
907437, 9, 79, 99908.00, 757, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 127447, 621250, 390576, 229916
967437, 9, 79, 99909.00, 745, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 104207, 627644, 390684, 234381
1027440, 9, 79, 99906.00, 746, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 69567, 619914, 386298, 227130
1087450, 9, 79, 99904.00, 729, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 149264, 629753, 391626, 238519
1147450, 9, 79, 99905.00, 723, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 119412, 634553, 392811, 239152
1207454, 9, 79, 99899.00, 720, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 122848, 627185, 389150, 233909
1267454, 9, 78, 99899.00, 719, 1.0000, 1.0000, 1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, -1.0000, 115472, 620786, 391029, 227540
